"","userNames","userTweets"
"1","Semanario Quinto Día","un descenso en aportes al fonden de unos mil millones de dolares gt gt econom índice el aloe vera o sabila es una planta con multiples beneficios descubrelos aqui gt gt ausberto quero directivo del colegio de ingenieros del estado zulia en esta entrevista detalles aqu enterese lo que dice el abc de madrid sobre los “papeles de panama” gt gt exclusivasqd gran negocio con las medicinas que importa el gobierno y mandan a colombi nicolas maduro decidio validar legalmente el ocultamiento de estadisticas detalles en banfinanzas gt gt aprenda sobre la psicologia positiva y apliquela para mejorar su salud gt gt unaopinion temas corrupcion global radicada en panama acaba de ser puesta al descubierto por periodistas gt gt al momento de escoger una hay varios aspectos a considerar algrill de gt gt estamos en busqueda de alguien como tu si estas interesad envianos tu curriculum captacionquintodia com el cancer de pulmon representa la primera causa de mortalidad en el mundo y en venezuela gt gt asusalud sabes como detectar una mentira índice gt gt prisca davila en el dia internacional del jazz gt gt mos paraleerenelavion gt gt exclusivasqd seis guardias detenidos por el caso del avion con la droga gt gt detecta una mentira con estos pasos gt gt índic “pasan de mil y pico porque recuerda que todos se unen todos esos barrios se enlazan” explica miembro de la band en puntoerotico de tips que debes saber sobre el sexo oral gt gt mosaico “la cena de los idiotas” llega a su ultimo mes de presentaciones detalles de las presentaciones aqui gt gt alcalde de el hatillo habla en esta entrevista sobre la inseguridad en el municipio gt gt el presidente “se equivoca cuando piensa que puede vetar una ley” explica la ex magistrada gt gt americo martin en esta entrevista dimos “un paso hacia la reunificacion del pais” gt gt paraleerenelavion gt gt sebastianasinsecretos la muerte de dos cadetes entre que resultaron afectados ha creado mucho malestar gt gt se busca gerente de mercadeo cumples con los requisitos envia tu cv captacionquintodia com la banda que controla el cementerio converso con y esto fue lo que dijeron gt gt unaopinion temas mas empuje en cuanto a la tematica legislativa gt gt el banco central de venezuela fabrica billetes para comprarle bonos a pdvsa gt gt banfin ausberto quero el efecto “niño” es un factor que se añade a la crisis del pais gt gt centro medico docente la trinidad falta de agua les hara mermar sus capacidades operativas gt gt exclusivasqd economia el gobierno comienza a hurgar en el bolsillo del sector privado inyectando recursos al fonden gt gt los venezolanos que aparecen en los “papeles de panama” no viven en caracas gt gt estamos en busqueda de alguien como tu si estas interesad envianos tu curriculum captacionquintodia com caritas ha desde han capacitado cerca de comunicadores de estos son periodistas gt gt cambioclimat aprenda sobre la sabila y sus bondades en índice gt gt todo lo que quiera saber sobre la esclerosis lateral amiotrofica y mas en asusalud gt gt el ejercicio tambien ayuda para aliviar el malestar emocional gt gt salud los nombramientos de esta semana puede leerlos aqu paraleerenelavion gt gt banda sinfonica simon bolivar estrena concierto en chacao detalles en mosaico gt gt sabes como detectar una mentira aprende aqui gt gt índic periodistas reciben capacitacion en gestion de riesgo con caritas francia y caritas venezuela gt gt cambioclimat policias y militares asesinados en lo que va de año alcalde de el hatillo en esta entrevista gt gt"
"2","Primicias24","hinterlaces de los venezolanos ven la crisis actual como “grave” y “muy grave” salud el gato te comio la lengua descuida desarrollan primera protesis de lengua en japon comite internacional de la cruz roja nego toda relacion con papeles de panam luis orta ya es bienvenido a ri diputado carlos paparoni sufre volcamiento al trasladarse mucutuy mer ministerio publico acuso a exdirector de el rodeo i por facilitar armas y explosivos a l tomas guanipa venezuela necesita gobierno de unidad nacional y de salvacion de la patri transito de la pnb captura dos secuestradores en autopista francisco fajard cicpc detuvo dos sujetos dedicados al robo en municipio sucre y chaca roberto enriquez viaja a panama y guatemala a investigar cuentas bancarias sospech detenidos dos sujetos con articulos de higiene personal y uniformes deport cristina kirchner fue imputada por lavado de diner presidente polaco acuso de negligentes a autoridades locales por accidente aereo d facebook activo el megafono electoral para presidenciales peruan muchacho plan remolque acentua estrategias contra abusos y anarqu arias cardenas hoy inauguraremos la emergencia del hospital central de maracaib emilio velazquez y ricardo trivino triunfaron en el rally montañas sierra fria aguascalient protestaron contra aumento masivo de impuestos en carac isturiz preside jornada de trabajo en zuli hace años fue firmado el acuerdo de viernes santo en belfast entregan mas de mil tarjetas de misiones socialistas en aragu meta de exportacion en es de siete mil millones de dolar dayana mendoza pide ayuda para hospitales infantiles en venezuel venezolanos indocumentados fueron deportados desde colombi renuncio el primer ministro de ucrania por estancamiento de su gobiern cuatro muertos dejo ataque terrorista en peru hinterlaces de los venezolanos ven la crisis actual como grave y muy grav este domingo los simpson estrenan nueva tempor sistema popular de distribucion de alimentos entrega mas de toneladas de aliment musical abracabrujas el retorno de las hermanas sanderson petroleros pacto armisticio en puerto la cruz ante miner inameh domingo nublado y sin lluvias en gran parte del p diputado andres álvarez conformara plataforma de lucha con indigenas y el congreso de la p siguenos en instagram tambien como y disfruta nuestra seccion conocevenezuel metropolitanos fc sigue invicto tras victoria ante angostura fc asiaticos este joven creo un robot inspirado en la sensual scarlett johansson pakistan afganistan y la india fueron sacudidos por sismo de magnitud esnoticia red hotelera debera autogenerar electricidad durante nueve horas diari economia venezolana caera  afirman que entrenar en pareja puede nutrir la relacion sentimental felizdomingo buscamos comunicador social apasionado por la escritura envia tu cv a infoprimicias com felizdomingo prueba estas deliciosas panquecas de chocolate para tu desayun siguenos tambien instagram como o a traves del link tecnologia crean nuevos sistemas de rastreo para drones inteligent al menos personas fallecieron en accidente de transito en peru estelar activara vuelos comerciales entre caracas y cuman polihatillo detiene a bachaqueros por agresion a vecin matilda reaparecio en programa de tv despues de añ defensoria del pueblo departamento de estado carece de autoridad moral para opinar sobre derechos human mas de mil familias se beneficiaron en tachira con sistema de distribucion de aliment"
"3","Últimas Noticias","entregan bolsas de comida casa por casa en comunidad del tachir este lunes anunciaran nuevos precios de productos nacional el carabobeño suspende transitoriamente a varios trabaj entrada en con quesuenenlostambor fotos con eventos deportivos y culturales celebraron dia mundial de la salud en video de vespa a grua con algo de ingenio clasificadosún iglesia de berlin aprueba matrimonios homosexual arsenal rescata un punto frente al west ham unit jaua alerta sobre pretensiones mercantilistas de ley contra gmvv dile no a las estafas no permitas que desconocidos te cobren antes de ver un vehiculo o inmueble clasificadosún en cagua pauta tu aviso en receptoria j l sarmiento publicidad c a calle froilan correa n entre bermudez y paez centr asesinado hombre y su hijastro en tiroteo entre band inauguran sala de emergencia en hospital central de maracaib hallan bebe recien nacido en barut carabobo supervisaron plan de abastecimiento de agua pot publicar en el centro de servicio al cliente es muy sencillo descubre com fallece periodista guillermo vargas a los añ faria meta de exportaciones no tradicionales es de millon los domingos de diaz rangel los papeles de panam fotos claves y datos generales de elecciones en peru humala voto y dijo “tenemos que romper el reto de la historia peruana” bachaqueros modus operandi varia segun la zona y la mercanc ivana valentina se llevo el clasico senegal conoce el desierto del reino unido a traves de estas fotografias clasificadosún mas de muertos en el incendio de un templo en indi edgar ramirez el boxeo cambio mi v adan chavez plantea dialogo con una oposicion seri miguel cabrera comanda al escuadron de latin renuncia el primer ministro de ucrani seijas llega con buena chapa a porto alegr un terremoto de grados sacude afganistan pakistan y la indi johan santana hara su ultimo intent simplificado el de los tramites administrativos para export kawasaki n gana la horas de le mans de mot rangel autores del golpe de insisten en atajos inconstitucional fallece periodista guillermo vargas a los añ video nacho cautiva con su bailame en instagram publica con nosotros en clasificadosún y llega a mas personas entra aqu encuentra el empleo que sueñas visita clasificadosun acusan a tres gerentes de conviasa por corrupcion se esta planteando una guerra por encima del dialog mil familias han recibido la tarjeta mision social se elevan a cuatro los muertos en emboscada terrorista en la selva de peru sepelio de un pran genero una alta tension peru lo unico seguro es que habra balotaje  cotur encabinara a los mas “influencers” la tecnologia nueva aliada para enamor en contacto con maduro regresa el proximo mart mil efectivos militares resguardaran elecciones en peru en marzo ingresaron millones por venta de petrole"
"4","La Nueva Mágica","buenamusica sanluis mi gran amiga domingosmag hoy la gran familia de la nueva magica le desea un muy feliz cumpleaños a nuestro querida compañer buenamusica sharlene taule mal de amor ft servando amp florentino domingosmag feliz domingo para todos nuestros magicos oyentes sintonicen lanuevamagica y disfruten de la mejor musica quebiensesient conoce los mejores tips de salud en uncafeconshiabertoni de lunes a viernes de a de la mañana por lanuevamag ahora las tardes son de la nueva magica aromadecambios masnuevaquenunca quebiensesient buenamusica il volo grande amore domingosmag sintoniza de lunes a viernes el programa mas descarado de la radio venezolana eldescarodelas de a del mediodia quebiensesient buenamusica ricardo montaner no te vayas domingosmag enterate de todo lo que ocurre en el acontecer nacional en hoyxhoy junto a marianella salazar de lunes a viernes de a de la tard buenamusica fonseca entre mi vida y la tuya domingosmag conoce lo mejor del espectaculo nacional y la moda junto a auri castillo en primerafila de lunes a viernes de a de la tard ahora las mañanas son de la nueva magica aromadecambios masnuevaquenunca quebiensesient buenamusica victor manuelle algo le pasa a mi heroe domingosmag disfruta de las mejores reflexiones y energias que trae casosycosasdefraga de lunes a viernes de a de la tarde acompañan buenamusica alfonso teran mi único adios domingosmag libera el estres del dia con lamagiadeamaliaheller de lunes a viernes de a de la noche por lanuevamag buenamusica rhyna mas tiempo domingosmag disfruta de la mejor musica en gentemagica de lunes a viernes de a de la noche por lanuevamag buenamusica carlos rivera como pagarte domingosmag hoy la gran familia de la nueva magica le desea un muy feliz cumpleaños a nuestro querida compañer disfruta todas las mañanas de nuestro folclor venezolano en venezuelamagica de lunes a viernes de a de la mañan buenamusica sebastian yatra no me llames domingosmag buenamusica eros ramazzotti al fin del mundo domingosmag buenamusica thalia solo parecia amor domingosmag buenamusica benavides vivir sin ti domingosmag buenamusica chayanne bailando dos corazones domingosmag buenamusica gloria trevi como yo te amo domingosmag buenamusica laura pausini y melendi entre tu y mil mares domingosmag ahora las noches son de la nueva magica aromadecambios masnuevaquenunca quebiensesient conoce sobre la gastronomia mantuana en lamesadeosmelia y aprende a hacer tus bebidas energeticas en casa junto  hoy en lamesadeosmelia te invitamos a disfrutar de un menu lleno de invitados y sabores junto  mundolight y el dr llegan hoy a lanuevamagica para traerte la mejor informacion en cuanto a salud sintonizan hoy en mundolight no te pierdas el especial de medicamentos para rebajar junto al dr sintonizan conoce todo sobre los juicios y prejuicios junto a y miriam heller en ventanasabiert en minutos comienza ventanasabiertas tu espacio de reflexion junto a y miriam hell lanuevamagica y alfinllegoestefin te traen lo ultimo en musica entretenimiento y las mejores noticias sintonizan alaire y conversaran sobre las obras triangulo y conciertoparatressilencios  en minutos comienza el espacio del teatro con y sintonizan ahora las tardes son de la nueva magica aromadecambios masnuevaquenunca quebiensesient los mejores temas que enaltecen a nuestra cultura los puedes escuchar en venezuelamagica con sabemos que te gusta el cine y queremos ofrecerte lo mejor no te pierdas cinesquemas con conoce las ultimas tendencias en internet y redes sociales junto a en contactoenline sintoniza losviajesdemontenegro con y conoce la maravillosa ciudad de buenos aires en argentin ahora las noches son de la nueva magica aromadecambios masnuevaquenunca quebiensesient culmina tus noches con en compañia de de lunes a viernes de a pm si estas indecisa entre el te o el cafe no te pierdas setenotaloquecomes junto  recorre el paradisiaco archipielago de los roques junto a en losviajesdemontenegr sintoniza gentemagica con la mejor informacion y entretenimiento junto a de a de la noche acompañan"
"5","Notitarde","ítalo violo “pinta y escribe con su boca” edicionaniversari peruanos de carabobo participaron masivamente en elecciones de su pais este domingo fot la movida del diseño venezolano domingo abril ciem notitardeinvit denisos martinez de la dificultad a la primera raqueta edicionaniversari maickel melamed “maratonista de sus sueños edicionaniversari reserva ya para la vi cumbre del exito este   notitardeinvit ángel sanguino creo su propio brazo robot edicionaniversari ángel sanguino creo su propio brazo robot edicionaniversari nacho dono insumos medicos al hospital de niños j m de los rios video espectacul sintabu sabias que existen siete tipos de senos cual es el tu busca los pronosticos del notiparley de hoy doming super venezolana barbara rondon “en puño y letra edicionaniversari daniuska rodriguez confio en su futbol para sacar a toda la familia adelante deport haash por primera vez en valencia este entradas  evento de moda venezolano este de abril en embassy suites notitardeinvit taxistas protestan en la autopista prados del este por la insegur diputados a la an realizaron recorrido por san diego region se parte de la solucion ahorraluz un consejo de notitard incautan mil dolares a banda criminal en vehiculo del senado de colombi almagro urge la ley de amnistia para reconciliacion en venezuel allup el estado tiene planeado suspender las elecciones de gobern capturadas dos mujeres dedicadas al robo de vehiculo y extorsion en valent super venezolana sonia soberats fotografa y artista invidente edicionaniversari abatidos cuatro delincuentes en el sector guanayen de aragua suces haiti necesita millones para mejorar saneamiento del agua pot sectores de aragua presentaron suspension del servicio electrico region mexico cambia embajador en eeuu en medio de los desplantes de trump fernando zerlin su mejor lenguaje es ganar edicionaniversari fernando zerlin su mejor lenguaje es ganar edicionaniversari celebrado concierto de premiacion del er concurso nacional de composicion cultur observatorio venezolano de salud pidio a maduro aceptar ayuda internacional visita los viernes de descuento notitardeinvit inaugurada muestra individual del joven artista juan mariño cultur sintabu enterese porque los hombres se duermen despues del sex tarde de compras con marcas venezolanas el en venetur notitardeinvit ana moreno de la constancia a la superacion edicionaniversari dinero finanzas personales con roberto vainrub este reserva ya notitardeinvit busca los pronosticos del notiparley de hoy doming daniuska rodriguez confio en su futbol para sacar a toda la familia adelante deport super venezolana vanessa peretti “una voz en señas edicionaniversari expo gourmet la fiesta gastronomica de venezuela llega a valencia este y colombia deporta a venezolanos que estaban indocument servicio publico solicitan con urgencia rituximab y una ampolla de mg valent victor hugo garrido “un luchador ejemplar” edicioaniversari xtreme mma este en el colegio de abogados notitardeinvit recolectan firmas en falcon contra ley de amnistia p saludya ha atendido requerimientos de mas de person ítalo violo “pinta y escribe con su boca” edicionaniversari sin sorpresas en la lista de convocados del barcelon movilnet realizo jornadas de ventas de equipos en varias comunidades de carac"
"6","La Razón","madres de estratos bajos y adolescentes clase media son el rostro del aborto en venezuel la portada d madres de estratos bajos y adolescentes clase media son el rostro del aborto en venezuel mañana en la polemica columna de el gobierno titere y tiranico d viernes no laborales afectan la economia venezolan reducir los dias laborables a y otras soluciones de maduro a los problemas de venezuel declarar los viernes como no laborables es un mensaje de desesper cronica parlamentaria el dia en que la minoria rompio el quorum para de familias en pobreza reciente sus ingresos son insuficientes para comprar com viernes no laborales afectan la economia venezolan las soluciones de para superar la crisis venezolan ministro freddy ñañez ordeno pintar logo de ojos de chavez en torres de centro s boliv la asamblea nacional debe recuperar el tiempo perd el dia en que la minoria rompio el quorum diputados agüero cabello flores y zambrano encabezan lista de inasistencias en la an diputado timoteo zambrano unt encabeza lista de inasistencias de la mud en la an primera dama cilia flores solo asistio a una sesion en la an durante el mes de marz capitan diosdado cabello no asistio a las sesiones de la an durante todo el mes de marz hector agüero diosdado cabello cilia flores y timoteo zambrano encabezan lista de inasistencias an acaso tiene dueño el nombre del pueblo columna de gustavo luis carrer autogol de la oposicion en ausencia de diputados de mud impidio aprobar ley viviend borran logo del ojitos del difunto hugo chavez del edificio administrativo de l y ese dialogo qu colombia corte constitucional aprueba el matrimonio igualitari acaso tiene dueño el nombre del puebl imputan a mauricio macri presidente argentino por el caso panamapapers hector navarro “soy en parte responsable de la crisis electrica” hector navarro “soy en parte responsable de la crisis electrica” opinion y ese dialogo que por ruben osorio canal hector navarro se presento ante la comision de la an que trata la crisis electr soy en parte responsable de la crisis electrica admite el ex ministro hector navarro en la an hector navarro en la an planta electrica de guarenas comprada a derwick bolichicos no era nuev hector navarro “soy en parte responsable de la crisis electrica” opinion y ese dialogo que por ruben osorio canal dejemos claras las respons mas pobres y con malnutricion desalojan edificio administrativo de la an por amenaza de bomb opinion y ese dialogo que por ruben osorio canal sigue el escandalo de panama papers figuras de la politica y los negios aparecen en operaciones de lavado de diner mas pobres y malnutridos millones de venezolanos comen veces al d jennifer mccoy “oposicion y gobierno ponen en riesgo al pais” ex alcalde dice que el finado hugo chavez quiso como un hijo al tenient mas pobres y con malnutricion de la poblacion vive algun tipo de pobrez vídeo anuncia que la le exigira publicamente la partida de nacimiento  mas de de escasez en medicamentos de alto costo afecta a pacientes cron victor poleo “crisis electrica fue intencional” mas pobres y malnutridos millones de venezolanos comen veces al d jennifer mccoy “oposicion y gobierno ponen en riesgo al pais” dice que lhc ordeno masacre de cantaura pero no menciono a su compañero piloto que bombardeo el campament panamá papers pedro torresciliberto cecilia picon de torres y sus socios ana ävalos de rangel y jose vicente rangel"
"7","La Voz","en pixar quieren repetir el exito de buscando a nemo con dory murio arrollado hombre en tramo el cercado de la autopista gma investigan incendio de buses en estacionamiento de guatir a años del suicidio de kurt cobain asesinaron a tres hombres en hechos aislados en zonas de ocumare del tuy porfi baloa sera parte de edicion vii serie de conciert hombre mato a esposa y luego se suicido dentro de su casa en zumb ilich estrena “contigo” janet jackson esta embaraz preso integrante de la banda de “viejo cheo” en ocumar muere mujer asfixiada tras discusion con su exparej polo red intense una fragancia para los hombres que quieren algo mas intenso para las noch exhortan a mininterior a frenar los altos niveles de insegur murio hombre que fue quemado durante linchamiento en los ruic damnificados pidieron atencion en la yagu protestan usuarios del sitssa en mirand derecho justo mejores ciudadanos y menos polic vive por las taquillas exit en petare firmaron bandera de la libert capturaron al presunto homicida de parroco de san jose de boliv delincuentes hieren a mujer de balazos en zona de cu “no me calo tu final feliz” todo un exito de taquill anorexia sigue afectando a angelina joli por agredir a mujer que le pidio licor asesinaron a un verdulero en la veg quintero cierra hoy actuacion en el bod estallan las redes sociales por detencion de poliplaz salomon invit la obscenidad en la polit fiscalia presentara a juez que pretendia cobrar extorsion los adolescentes hoy en copacabana stere cruz “no es el mejor momento del teatro” policia de lander recupero tres vehiculos rob detienen en san jose a ladrones de aut madre de lila morillo hospitaliz fallecio un sargento de la gnb que fue tiroteado en barrio el guaratar motivos de tertuli el rey encabeza el trio de vaina no matan a pied daniel y su histori desmantelada banda dedicada al robo de busetas en el tuy port port catorce años de impun abalean a hombre frente a su casa en araguit polisucre salvo de ser linchado a un presunto roba mot la delincuencia como arma polit paciencia estrateg puro talento la sobrinita de luis miguel… viviana y jean carlos actuan en edipo rey polilander frustro robo de una buseta en terminal de ocumar la “lujuria” de cesar malueng"
"8","Prensa Today","tibisay lucena “la peticion de un revocatorio no cumple con las normativas” alarmante video de insumos medicos escondidos en sede del psuv dudamel anuncio a los convocados para la copa america centenari ramos allup a escarra “no discuto con payaso sino con dueño de circo” luis chataing anuncio su salida de la meg se decretan dias viernes como no laborales por crisis hidroelectr impactante periodista roman camacho cuenta realidad de el cementeri intentan secuestrar restos de la madre de cabello y dejan mensajes al diput en el diamundialdelasalud el centro medico docente la trinidad suspende servicios por… terrorista de ataque en bruselas trabajo en el parlamento europe alerta de bomba en sede administrativa de la an el valle fuga de delincuent por que yorevoco es tt tres funcionarios del cicpc asesinados en el vall luis alberto clavell director de conifarma implicado en trafico de medicinas para el canc henry ramos allup an puede legislar en materias de competencia nacional tarek william saab “venezuela no tenia instituciones que defendieran los derechos humanos” familiares de presos politicos exigen justicia en la nunciatura apostol juan barreto segun tsj los unicos partidos legales son psuv y mud el gobierno insiste en ponerle los ganchos a directivos de la pol recordar es vivir caso aban pearl y pdvsa lionel messi fue acusado de estar implicado en “los papeles de panama” venezolanos de zonas populares son violentados en las olp brutal greivis vasquez satisfecho con el proceso de recuperacion de su tobill gabriela montero pide mas dd hh y menos flores a wilmer barrient hasta al “alcalde encargado” en guayana lo atrac rafael dudamel sera el nuevo dt de la vinotint la pobreza alcanzo al del p asesinan al alcalde del municipio la ceiba de ocho dispar salomon rondon “la vida en caracas es un caos” el sahara occidental una tarea pendiente de la civilizacion modern elvis andrus ya esta “preparado para tener un año solido” duelo de lanzadores durante once entradas entre venezuela y leon continua la guerra por los medios entre venezolanos en miami  vide cadaver de venezolano es encontrado en playa de arub venezuela podria sufrir la caida del guri a finales de abril dia mundial contra el cancer de colon unidosporlav continua la guerra por los medios entre venezolanos en miami  vide se incorporara comando policial en udo tras hechos violent boletin de salud miranda revela aumento de enfermedades por racionamiento de agu jose vicente haro “la aprobacion de la ley de amnistia fue apresurada” bombardeos en localidad cercana a damasco dejan  muert julio coll estrena nuevo personaje “el bolichico” suiza entregara a estados unidos informacion bancaria de boliburgues aprobada ley de amnistia en la an acuerdo de paz entre gobierno de colombia y guerrilla eln rafael dudamel podria ser el nuevo dt de la vinotint acuerdo de paz entre gobierno colombiano y guerrilla eln leopoldo lopez fue trasladado al hospital milit guri cada vez mas cerca de su zona crit"
"9","Radio Caracas Radio","alo suecia el curioso numero de telefono que permite llamar a un sueco aleatorio y preguntarle lo que qu marcel granier en venezuela hay una dictadura pura y dur apertura a la caribeña la economia cubana allana el camino al emprendimiento privado pero a un ritmo lent perù primera vuelta presidencial flash electoral ipsos keiko ppk kuczynski y mendoz ley de amnistia intensifico presion internacional para la liberacion de los presos polit america latina no sera por ahora una region de clase medi este domingo celebran la primera aparicion hace años de la virgen de betania en el estado mirand peruanos van a las urnas para elegir al proximo presidente primera vuelt simadi cerro en bs us el viernes la brecha es inmensa con el oficial y el paralel buenos dias feliz domingo que la pasen muy bien y lo disfrut belgica confirma que osama k detenido el viernes es el segundo terrorista que ataco el metro de maelbeek explican ante la sip reunida en dominicana agresiones del gobierno de maduro contra la libertad de expresiòn peru se prepara para votar mañana en medio de una gran frustr argentina imputan a cristina kirchner y julio de vido en la causa por lavado de diner caracas equipos reporteriles fueron atacados en inmediaciones del cne electores deben verificar si deben cumplir con servicio electoral hallan carros robados y billetes de y dentro del reten el marite en el estado zuli estudiantes solicitan a la oea evaluar la crisis humanitaria y de poderes que vive venezuel huso horario impuesto por chavez sube el consumo electr buenos dias feliz sàbado que la pasen muy bien y lo disfrut mud condena agresiòn a diputados y periodistas y prepara movilizaciones para impulsar revocatori asamblea nacional sanciona reforma parcial de la ley organica del tsj el gobierno se contradice porque al mandar a trabajadores a sus casas aumentara la demanda residencial muchas gracias por la correcciòn que la pasen muy bien este di feliz viernes de abril que sea un excelente di otra amenaza de quien ha estado en el poder añ en gaceta oficial decreto que declara los viernes no laborables de abril y mayo en la administraciòn pùbl megabandas criminales estan mejor armadas que los funcionarios policiales luis izquiel abogado y criminolog rector rondon cne no posee exclusividad en iniciativas de ley en materia electoral escarra quien antes pedìa el contra chàvez ahora pide a maduro enmienda para cesar a la actual asamble duro golpe a las redes de lavado de dinero en miami precios de insumos de industria del plastico aument control ciudadano padrino se insubordina ante el poder civil salud chimborazo le quita record al everest volcan ecuatoriano es el punto mas alejado del centro terrestr desviaron millones de dolares destinados al sistema electr maduro decreta dias no laborables en adminisrtraciòn pùblica los viernes de abril y mayo para ahorrar energ rector cne luis rondon la asamblea puede tener la iniciativa de leyes electoral buenos dias feliz jueves que la pasen muy bien haciendo lo mejor en todo lo que pued cuatro meses se cumplen del triunfo de la mud en la an escuche al diputado audi escuche con thays peñalver y francisco olivar los papeles de panamà el negocio en venezuela y el exterior detràs de unos carros chery de origen chin hoy en carac solidaridad para quien pueda ayud grandes ligas nueva regla para el deslizamiento en segunda base le da a rays polemico triunfo sobre azulej escasez de medicamentos en farmacias subio a en menos de mes antonini wilson julio de vido era el hombre fuerte en los contactos entre venezuela y argentin por supuesta venganza antisociales con armas largas y granadas atacaron sede cicpc el valle policias muert almagro pide a maduro firmar “inmediatamente” la ley de amnist fiscal nacional estaria ejerciendo presion por caso de la droga en dominican"
"10","Terra Venezuela","les recomiendo disfrutar del evento la cocinera tickets  el pueblo apoya iniciativa de reunion con propietario y alta gerencia de polar con la comida no se juega caray a las madres hijas del gran amor con las bendiciones del pueblo que comparte el orgullo infinito de su obra patri venezuela extiende su duelo nacional hasta el viern venezolanos celebran designacion de un suramericano como pap maduro dice que grupos de ultraderecha eeuu planean atentar contra capril chavez influyo en la eleccion del papa dice madur nicolas maduro anuncia que chavez podria no ser embalsam presiona dejar de seguir a y seguir en nuestra cuenta global mas informacion de primera mano para t se crece con el cambio a te regalamos mas informacion segundo a segundo siguenos y disfruta cada primici sigue desde ya y comienza a disfrutar de las primicias que terra tiene para ti segundo a segund pasa a ser desde hoy encontraras todo lo que necesitas en noticias curiosidades deportes entreten siguenos a partir del dia de hoy por encontraras toda la informacion de noticias economia deportes tecnologia y mas buenas tardes a partir del dia de hoy ampliamos nuestros contenidos pasaran a estar disponibles en siguen jugador david villa no viaja a milan a consecuencia de un col venezolanos celebran retorno de chavez en las calles fot revive los mejores momentos del juego de las estrellas de la nba fot retorno de hugo chavez al pais acapara titulares en la prensa internacional envivo asi esta el ambiente en calles de caracas tras el retorno de hugo chavez al p presidente chavez llego a caracas esta madrugada y seguira tratamiento en hospital milit capriles da la bienvenida a chavez y espera que ponga cordura en su gobiern facebook logra que desestimen cuatro demandas en su contr caida de papa en mexico no influyo en renuncia lombardi christopher dorner un asesino convertido en heroe en internet travestis podran vestir de mujer en carceles de guatemal apple apelara fallo sobre uso de marca iphone en brasil chavez recibe tratamientos complejos y duros dice madur video asteroide pasara asi de cerca a la tierr video edificio japones se va encog video pelea frente a las camaras de un estudio de television video un buho viaja atrapado en un coche por kilometr ricky martin quiere una hermana para sus hij lady gaga suspende gira para someterse a cirug celtics vencen a bulls con mucha facilidad en cas las impactantes fotos de la espectacular novia de cristian fotos asi vivieron los hinchas de boca el debut en la libert bandai relanza el tamagotchi en una app para andr curiosos tips para expresar todo tu amor en san valentin oposicion siria acuerda formacion de un gobierno transitori policia pistorius tuvo antecedente de violencia domest fotos pistorius otro deportista con problemas con la justici habra nuevo papa pero doctrinas seran las mismas expert enterte minuto a minuto del partido gremio contra huachipato copa libert disfruta el gol a gol the strongest contra arsenal arg copa libert sigue minuto a minuto el encuentro entre el real madrid y el manchester united envivo con un solo clic aqu sigue en vivo por terra el clasico real madrid man united visita mira las fot las ocho caras de youtube en su octavo cumpleañ operativo de liberacion de secuestrados por las farc se organizara en cali   conclave para elegir nuevo papa iniciara entre y de marz hoy no te pierdas la entrevista a en vivo y directo por hora pm hora venezuel"
